label,T1R1SC1,T1R1SC2,T1R1SC3,T1R1SC4,T1R1SC5,T1R1SC6,T1R1SC7,T1R1SC8,T1R1SC9,T1R1SC10,T1R1SC11,T1R1SC12,T1R1SC13,T1R1SC14,T1R1SC15,T1R1SC16,T1R1SC17,T1R1SC18,T1R1SC19,T1R1SC20,T1R1SC21,T1R1SC22,T1R1SC23,T1R1SC24,T1R1SC25,T1R1SC26,T1R1SC27,T1R1SC28,T1R1SC29,T1R1SC30,T1R2SC1,T1R2SC2,T1R2SC3,T1R2SC4,T1R2SC5,T1R2SC6,T1R2SC7,T1R2SC8,T1R2SC9,T1R2SC10,T1R2SC11,T1R2SC12,T1R2SC13,T1R2SC14,T1R2SC15,T1R2SC16,T1R2SC17,T1R2SC18,T1R2SC19,T1R2SC20,T1R2SC21,T1R2SC22,T1R2SC23,T1R2SC24,T1R2SC25,T1R2SC26,T1R2SC27,T1R2SC28,T1R2SC29,T1R2SC30,T1R3SC1,T1R3SC2,T1R3SC3,T1R3SC4,T1R3SC5,T1R3SC6,T1R3SC7,T1R3SC8,T1R3SC9,T1R3SC10,T1R3SC11,T1R3SC12,T1R3SC13,T1R3SC14,T1R3SC15,T1R3SC16,T1R3SC17,T1R3SC18,T1R3SC19,T1R3SC20,T1R3SC21,T1R3SC22,T1R3SC23,T1R3SC24,T1R3SC25,T1R3SC26,T1R3SC27,T1R3SC28,T1R3SC29,T1R3SC30,T2R1SC1,T2R1SC2,T2R1SC3,T2R1SC4,T2R1SC5,T2R1SC6,T2R1SC7,T2R1SC8,T2R1SC9,T2R1SC10,T2R1SC11,T2R1SC12,T2R1SC13,T2R1SC14,T2R1SC15,T2R1SC16,T2R1SC17,T2R1SC18,T2R1SC19,T2R1SC20,T2R1SC21,T2R1SC22,T2R1SC23,T2R1SC24,T2R1SC25,T2R1SC26,T2R1SC27,T2R1SC28,T2R1SC29,T2R1SC30,T2R2SC1,T2R2SC2,T2R2SC3,T2R2SC4,T2R2SC5,T2R2SC6,T2R2SC7,T2R2SC8,T2R2SC9,T2R2SC10,T2R2SC11,T2R2SC12,T2R2SC13,T2R2SC14,T2R2SC15,T2R2SC16,T2R2SC17,T2R2SC18,T2R2SC19,T2R2SC20,T2R2SC21,T2R2SC22,T2R2SC23,T2R2SC24,T2R2SC25,T2R2SC26,T2R2SC27,T2R2SC28,T2R2SC29,T2R2SC30,T2R3SC1,T2R3SC2,T2R3SC3,T2R3SC4,T2R3SC5,T2R3SC6,T2R3SC7,T2R3SC8,T2R3SC9,T2R3SC10,T2R3SC11,T2R3SC12,T2R3SC13,T2R3SC14,T2R3SC15,T2R3SC16,T2R3SC17,T2R3SC18,T2R3SC19,T2R3SC20,T2R3SC21,T2R3SC22,T2R3SC23,T2R3SC24,T2R3SC25,T2R3SC26,T2R3SC27,T2R3SC28,T2R3SC29,T2R3SC30
I1,9-14j,-24-4j,-21+13j,5+26j,34-1j,14-30j,-17-23j,-25-3j,-17+10j,-5+17j,16+14j,21-2j,17-12j,2-21j,-2-21j,-21-4j,-20+12j,1,8+14j,14+4j,13-15j,2-12j,-14-11j,-11-6j,-7+11j,11+15j,15-1j,4-6j,-3-5j,-8-2j,2+19j,24+1j,2-16j,-17-14j,-31+9j,-3+28j,24+20j,24+0j,8-22j,-10-26j,-24-21j,-33+2j,-16+30j,17+41j,35+29j,51-5j,18-44j,-19-43j,-42-9j,-33+28j,-10+36j,32+40j,46+4j,31-48j,-32-50j,-51+10j,-8+43j,33+21j,27-23j,-8-33j,-3+5j,4+10j,1-2j,-4-7j,-12-6j,-9+10j,6+15j,13+4j,10-13j,-4-18j,-13-19j,-25-4j,-15+21j,7+32j,23+22j,35+2j,19-26j,-6-32j,-29-13j,-28+14j,-14+21j,15+32j,29+11j,26-30j,-14-38j,-32+0j,-9+24j,19+17j,19-15j,-5-22j,11-7j,-12-12j,-13+7j,-5+19j,12+18j,21-4j,10-18j,-2-24j,-20-10j,-26+3j,-23+19j,5+35j,24+22j,45-9j,41-30j,-7-48j,-36-34j,-46+8j,-29+41j,11+44j,44+25j,49-18j,28-45j,-30-47j,-69+9j,-14+60j,34+38j,43-23j,-11-48j,-41-13j,34+0j,-5-33j,-34-11j,-32+36j,20+52j,54+4j,29-39j,-12-50j,-37-23j,-46+7j,-33+40j,6+53j,40+43j,65-9j,57-35j,13-56j,-35-60j,-60-10j,-48+38j,-16+54j,34+46j,59+10j,59-34j,10-68j,-66-40j,-57+35j,5+59j,38+26j,30-40j,-13-44j,9-10j,-16-4j,-6+10j,4+18j,19+9j,15-14j,-2-16j,-13-17j,-16+2j,-15+13j,-6+20j,15+18j,18+8j,23-18j,14-27j,-15-20j,-23-12j,-21+12j,-7+25j,5+16j,24+4j,23-12j,11-21j,-10-19j,-29+5j,-1+23j,13+16j,9-6j,-4-16j,-13-5j
I1,4+24j,25-8j,10-19j,-19-21j,-35-9j,-13+29j,12+26j,28+13j,22-9j,11-23j,-2-29j,-10-23j,-19-15j,-24+1j,-22+13j,-11+28j,6+25j,12+4j,15-10j,14-20j,4-17j,-9-13j,-16-3j,-18+4j,-5+12j,3+9j,11-1j,8-7j,-1-10j,-4-10j,-14-12j,-14+15j,10+19j,30+9j,17-24j,30,-23-17j,-24-5j,-27+16j,-16+27j,3+30j,30+19j,40-7j,29-32j,22-40j,-19-44j,-48-21j,-52+15j,-27+40j,6+42j,32+34j,46+11j,41-29j,4-63j,-52-49j,-61+19j,-9+44j,33+30j,39-17j,7-38j,-1+1j,-1+4j,7-3j,9-7j,-10-3j,-14-6j,-14+8j,-7+9j,3+18j,16+16j,19+6j,15-16j,-3-27j,-22-22j,-26-17j,-29+9j,-15+28j,5+39j,23+27j,27+4j,25-18j,12-28j,-14-33j,-39-12j,-38+27j,7+44j,29+11j,22-19j,-11-24j,-26-4j,-10+18j,9+2j,14-13j,9-18j,-19-16j,-20+9j,-11+12j,-9+22j,5+23j,16+10j,31-3j,22-26j,4-39j,-26-37j,-35-17j,-48-1j,-37+37j,2+51j,23+34j,48+7j,44-20j,23-46j,-14-49j,-47-32j,-63+23j,-9+63j,44+35j,45-7j,2-50j,-34-32j,-18+26j,26+27j,35-14j,15-47j,-36-42j,-53+2j,-37+37j,-1+51j,24+41j,40+23j,50-11j,33-37j,10-55j,-27-55j,-42-46j,-70-4j,-54+35j,-20+57j,15+61j,45+26j,51+2j,51-27j,21-57j,-26-66j,-71-19j,-56+44j,8+55j,41+29j,41-24j,6-43j,18-4j,-2-8j,-17-5j,-19+4j,-1+21j,13+12j,14+4j,19-5j,13-12j,3-12j,-14-18j,-21-1j,-21+10j,-13+21j,-4+20j,11+29j,26+9j,23-9j,16-12j,-8-25j,-13-16j,-19-7j,-20+9j,-11+23j,13+26j,24+4j,12-20j,-1-18j,-15+3j,-8+12j
I1,-20-15j,-15+21j,12+15j,29-14j,2-30j,-31-3j,-17+23j,5+17j,23+10j,21-5j,7-22j,-2-16j,-25-7j,-13+13j,-3+23j,10+25j,22+2j,13-20j,-16-24j,-22-10j,-18+7j,-3+13j,11+9j,21-3j,14-11j,-9-12j,-10+5j,-4+11j,4+6j,7+0j,21,-15+8j,5+25j,26+8j,22-26j,-7-33j,-29-5j,-20+27j,1+28j,22+17j,30-8j,10-41j,-15-38j,-48-10j,-48+8j,-10+51j,33+45j,46+1j,29-29j,-12-41j,-42-19j,-42+23j,-10+52j,48+31j,58-39j,-12-51j,-44+0j,-14+43j,39+24j,33-18j,,-5-1j,-11+1j,-5+4j,11+10j,16+3j,8-14j,-14-18j,-14-3j,-11+14j,1+22j,29+13j,25-6j,12-35j,1-34j,-33-11j,-32+17j,-5+30j,12+25j,26+0j,18-24j,-9-31j,-34-16j,-28+25j,20+40j,35-5j,5-30j,-25-12j,-17+25j,11+22j,-7-10j,-16+14j,5+16j,20+9j,18-25j,-7-24j,-19+2j,-16+13j,-2+21j,26+19j,25+0j,22-20j,-10-39j,-40-18j,-46+2j,-26+40j,20+51j,45+10j,35-25j,4-48j,-33-32j,-49+0j,-26+51j,29+54j,66-8j,9-60j,-43-29j,-37+30j,27+40j,41-4j,-29-3j,12+31j,42+3j,21-45j,-40-35j,-57+18j,-8+46j,30+32j,40-1j,27-32j,1-47j,-36-34j,-51+7j,-33+47j,-9+61j,44+43j,60-11j,36-46j,-14-59j,-53-18j,-51+18j,-25+55j,36+55j,69+3j,35-58j,-38-58j,-59+17j,-8+44j,43+19j,35-23j,-10-4j,-5+19j,11+12j,20-6j,-2-24j,-13-16j,-12+9j,-3+16j,9+13j,20+2j,15-9j,2-16j,-16-14j,-21+1j,-25+9j,-5+26j,20+18j,18+1j,15-14j,-7-27j,-16-12j,-23+0j,-10+27j,16+23j,25-8j,4-20j,-18-13j,-11+12j,7+10j,7-1j
I1,27+4j,-3-33j,-9-6j,-26+23j,18+33j,39+0j,10-29j,-14-22j,-23-3j,-13+11j,-8+20j,8+19j,29+17j,23-11j,16-12j,-13-32j,-23-13j,-19+10j,-3+23j,13+18j,17+9j,18-3j,3-14j,-6-14j,-16+2j,-4+12j,9+12j,8-2j,4-7j,-2-4j,-14+10j,14+15j,26-24j,29,-35-17j,-25+18j,2+36j,24+23j,35-3j,21-34j,-6-36j,-33-24j,-35+8j,-21+47j,9,39+36j,56-15j,24-50j,-19-48j,-49-15j,-40+25j,-6+52j,41+43j,68-10j,27-66j,-50-41j,-42+25j,5+44j,46+7j,28-29j,3+1j,-4-1j,17-11j,-1-7j,-8-11j,-10+3j,-7+17j,10+17j,21+5j,21-19j,-1-25j,-21-20j,-21+3j,-19+29j,-3+41j,19+29j,38-4j,23-31j,-4-34j,-28-19j,-31+12j,-11+33j,20+37j,46+3j,27-39j,-28-35j,-29+11j,-4+30j,29+6j,20-18j,12+19j,12-22j,-17-24j,-23+12j,-9+26j,26+20j,29-1j,18-24j,-4-30j,-18-23j,-34-7j,-29+31j,2+52j,49+37j,52+9j,49-27j,5-65j,-41-37j,-58+4j,-38+42j,2+58j,48+41j,60-19j,23-68j,-54-60j,-69+23j,2,51+25j,29-46j,-16-46j,24+32j,30-34j,-21-38j,-46-4j,-35+52j,35+49j,57-1j,28-40j,-4-46j,-39-40j,-54-3j,-37+36j,-1+59j,46+44j,62+28j,69-29j,23-70j,-27-62j,-62-16j,-58+31j,-19+63j,30+66j,62+23j,62-45j,-8-85j,-75-31j,-48+45j,15+51j,53+1j,31-43j,18+7j,-2-21j,-24-7j,-9+19j,5+21j,25+1j,18-13j,-2-21j,-15-15j,-19-7j,-21+8j,-1+24j,20+23j,33+2j,27-7j,18-23j,-9-34j,-21-11j,-27+11j,-11+24j,7+28j,24+18j,21-11j,6-29j,-24-22j,-27+7j,1+22j,18+5j,7-13j,-3-14j
I1,16-17j,-12-21j,-25+10j,-6+28j,26+23j,29-19j,-2-32j,-20-11j,-16-1j,-19+12j,-7+15j,3+19j,21+9j,16-9j,17-18j,-4-26j,-19-12j,-20+3j,-9+15j,4+19j,10+7j,20+2j,8-14j,-2-14j,-10-10j,-13+6j,1,10+6j,4-4j,6-4j,-1+16j,17-8j,10-17j,-17-18j,-27+11j,-10+26j,12+24j,29+10j,25-19j,6-26j,-15-28j,-33-10j,-33+12j,-18+44j,3,36+32j,52-6j,25-36j,-8-43j,-37-26j,-48+5j,-25+32j,5+47j,50+26j,51-35j,-10-50j,-41-10j,-25+27j,16+33j,37+1j,1,2-8j,1-1j,-4-3j,-7+4j,-7+6j,-2+11j,14+12j,18-10j,5-14j,-10-20j,-22-8j,-23+5j,-17+28j,-4+29j,19+23j,33+3j,21-22j,1-30j,-18-22j,-33-5j,-18+17j,-6+31j,27+25j,38-16j,-1-35j,-24-13j,-18+14j,7+22j,26+2j,18-4j,-10-20j,-15-5j,-15+9j,6+28j,26+6j,19-9j,2-25j,-6-25j,-27-15j,-30+7j,-21+27j,5+40j,38+30j,44+13j,35-27j,10-49j,-33-43j,-44-9j,-43+26j,-10+44j,25+44j,51+19j,51-37j,-5-71j,-63-23j,-38+36j,13+49j,48+1j,24-38j,29+1j,-2-35j,-33-19j,-41+23j,4+54j,46+24j,44-21j,9-38j,-16-40j,-40-23j,-40+6j,-30+32j,-2+49j,37+41j,52+29j,54-15j,32-49j,-15-57j,-44-33j,-52+9j,-38+37j,-4+54j,43+49j,65-1j,37-62j,-34-61j,-52-2j,-26+38j,30+38j,43-1j,11-12j,-15-10j,-12+4j,-7+13j,16+14j,18-7j,8-13j,-10-15j,-12-13j,-18+1j,-10+13j,-1+16j,13+15j,24+5j,23+0j,10-16j,-2-21j,-20-13j,-18-1j,-18+17j,-2+18j,10+17j,25+9j,19-18j,-5-29j,-26-9j,-14+13j,7+16j,16+0j,7-12j
I1,-14+23j,30+22j,21-10j,1-27j,-39-10j,-28+25j,5+26j,27+16j,24-10j,9-23j,-4-16j,-21-6j,-32+10j,-21+22j,-6+19j,17+13j,26-5j,18-21j,4-17j,-12-6j,-17+7j,-14+13j,-10+12j,4+3j,15-12j,5-24j,-7-11j,-8-2j,1+4j,9+6j,-3-14j,-15+9j,-2+25j,18+12j,23-17j,-12-32j,-31-19j,-22+0j,-11+21j,13+32j,33+24j,36+2j,19-27j,-18-44j,-35-47j,-55-13j,-30+34j,13+45j,45+28j,44-2j,26-32j,-15-49j,-53-23j,-55+20j,4+55j,60+15j,39-32j,-7-38j,-43+8j,-11+37j,2+1j,9+2j,3+7j,9+1j,6-1j,-2-9j,-11-9j,-8+1j,-10+11j,-1+18j,19+18j,24+5j,17-11j,-7-28j,-16-33j,-34-12j,-25+20j,1+31j,26+22j,31+3j,25-18j,-1-33j,-34-20j,-43+9j,-8+38j,34+16j,25-18j,-4-27j,-30-1j,-9+23j,-14+16j,13+10j,28+3j,17-16j,-21-14j,-26+3j,-14+23j,-2+29j,21+13j,27+2j,29-21j,-1-40j,-29-32j,-49-4j,-54+24j,-16+59j,31+49j,44+13j,48-28j,7-59j,-30-41j,-48-9j,-48+29j,2+69j,64+32j,53-44j,-16-55j,-49-11j,-22+48j,28+39j,-30+5j,5+32j,38+2j,41-37j,-15-49j,-51-3j,-29+29j,4+52j,34+26j,42+1j,35-27j,12-43j,-32-48j,-58-8j,-55+14j,-39+48j,15+69j,54+36j,54-8j,36-42j,-2-62j,-45-40j,-58-2j,-46+52j,35+78j,69-2j,29-39j,-20-51j,-55+12j,-15+42j,-3+16j,13+0j,17-13j,7-16j,-16-1j,-12+15j,5+13j,8+19j,18-2j,13-9j,5-16j,-10-16j,-22-10j,-23+15j,-14+24j,1+24j,20+21j,24+1j,14-17j,-3-21j,-13-19j,-22-1j,-15+12j,2+24j,27+15j,20-22j,-10-15j,-13-5j,-10+18j,12+13j
I1,10-23j,-25-8j,-22+29j,11+42j,38+3j,21-35j,-20-38j,-26-16j,-29+14j,-14+25j,9+33j,21+21j,27+7j,26-16j,16-29j,-8-29j,-27-14j,-22+13j,-3+22j,-1+24j,16+11j,23-4j,17-9j,4-26j,-12-14j,-16+4j,-5+8j,4+14j,6-1j,5-7j,19+12j,15-21j,-2-20j,-23-7j,-28+29j,5+33j,23+20j,28-9j,22-22j,-3-31j,-18-26j,-36-8j,-32+31j,-4+47j,11+49j,49+26j,53-15j,26-46j,-10-53j,-41-19j,-49+8j,-33+38j,12+55j,54+27j,60-35j,-6-62j,-52-20j,-36+29j,11+45j,40+8j,,7+0j,-3-1j,-5-1j,-6-11j,-10-4j,-10+0j,3+13j,5+14j,16+4j,16-2j,8-19j,-16-25j,-30-7j,-30+1j,-22+28j,3+33j,24+26j,36+5j,18-25j,4-35j,-17-27j,-38+1j,-23+29j,16+44j,43+4j,21-32j,-18-26j,-31+4j,-8+25j,18-18j,-13-18j,-29+14j,-9+27j,15+21j,24-9j,17-20j,26,-23-20j,-30-5j,-35+14j,-23+40j,21+43j,43+13j,49+2j,35-43j,-4-58j,-35-34j,-57-5j,-40+28j,-5+55j,24+43j,59+13j,54-33j,-9-74j,-64-25j,-48+34j,6+41j,53+6j,29-35j,29-22j,-24-35j,-37+11j,-20+46j,28+52j,54+5j,33-39j,-3-44j,-29-29j,-47-7j,-44+22j,-21+52j,14+54j,39+36j,59+20j,52-26j,21-57j,-16-59j,-54-28j,-58+5j,-35+41j,-6+62j,41+48j,75+9j,43-60j,-26-66j,-57-12j,-44+29j,22+46j,46+12j,20+4j,5-17j,-22-10j,-20+7j,-8+15j,11+9j,16+2j,14-9j,2-18j,-6-18j,-17-13j,-26+1j,-12+17j,4+16j,5+21j,23+5j,21-11j,10-13j,-3-27j,-12-15j,-21+3j,-20+9j,-3+24j,12+24j,26-6j,8-23j,-10-17j,-8-4j,-1+16j,9+7j
I1,-1+33j,42-6j,6-47j,-28-19j,-45+42j,24+44j,41+8j,25-31j,-5-34j,-23-13j,-33+6j,-18+25j,1+29j,29+18j,39-7j,19-23j,-3-34j,-29-9j,-20+14j,-5+19j,17+17j,18+8j,13-9j,1-20j,-12-13j,-15+8j,-2+17j,11+1j,5-5j,-4-9j,-2+17j,21-1j,7-12j,-22-27j,-30+0j,-14+31j,26+25j,27+3j,21-24j,-5-40j,-24-24j,-39+4j,-17+43j,21+48j,33+44j,59-11j,19-54j,-25-51j,-52-16j,-42+34j,-7+49j,44+37j,62-12j,30-62j,-56-57j,-62+28j,9+57j,45+18j,26-39j,-20-33j,-9-4j,1+13j,12-2j,11+10j,-7-3j,6-3j,-7-6j,-8-4j,-13+6j,-4+23j,9+15j,24+3j,15-27j,-8-33j,-11-28j,-40+2j,-17+32j,7+34j,32+19j,35-16j,14-30j,-24-32j,-45-2j,-29+36j,31+46j,46-12j,38,-27-16j,-20+25j,11+24j,-3+23j,21-7j,10-15j,-12-9j,-26+13j,-4+22j,15+14j,29-1j,24-22j,9-33j,-23-31j,-37+1j,-40+35j,9+55j,23+49j,54+4j,44-51j,-15-61j,-48-27j,-55+23j,-18+47j,20+57j,57+15j,55-52j,-28-73j,-74-2j,-24+60j,40+45j,47-32j,-7-51j,29+20j,18-30j,-27-36j,-51+2j,-13+49j,43+37j,46-16j,10-46j,-26-36j,-51-11j,-38+27j,-15+45j,35+49j,59+11j,69-13j,35-57j,-27-65j,-61-16j,-57+27j,-15+54j,27+56j,67+15j,61-36j,-4-82j,-74-37j,-59+54j,21+59j,54+5j,20-50j,-29-38j,-14+9j,13+8j,9+1j,-1-4j,-16-6j,-10+4j,-1+7j,8+12j,16+3j,21-5j,5-19j,-7-11j,-26-10j,-18+12j,-21+13j,2+20j,24+12j,21-13j,9-16j,-13-15j,-15-9j,-25+8j,-7+18j,21+23j,25-10j,1-26j,-22-6j,-16+16j,11+14j,14-3j
I1,-5+25j,30+9j,12-28j,-23-24j,-34+15j,-5+30j,26+21j,31-2j,21-19j,-4-25j,-17-20j,-26-7j,-26+12j,-7+32j,6+31j,22+10j,26-14j,9-22j,-9-25j,-12-9j,-18+6j,-7+15j,5+20j,19+6j,20-9j,-1-21j,-14-11j,-5+1j,-1+11j,5+6j,18+4j,3-24j,-15-16j,-27+3j,-16+32j,26+25j,33-1j,18-18j,-5-23j,-22-23j,-30-3j,-22+23j,-1+38j,28+32j,39+20j,46-18j,14-46j,-26-39j,-39-10j,-36+25j,-11+42j,25+43j,48+10j,45-33j,-15-58j,-51-7j,-21+38j,18+39j,39-12j,12-35j,-6-7j,-8+9j,1+5j,,6+8j,13-8j,5-11j,-5-8j,-11+2j,-15+7j,-5+15j,13+15j,24+3j,21-14j,14-21j,-7-32j,-25-15j,-29+12j,-10+23j,13+30j,27+14j,33-8j,12-29j,-15-33j,-39+4j,-11+32j,23+16j,29-9j,-6-27j,-24-10j,-7+10j,24+13j,23-17j,-12-27j,-25-11j,-23+16j,2+27j,18+16j,26+2j,22-18j,15-29j,-21-34j,-41-14j,-40+24j,-27+41j,7+60j,48+27j,51-13j,23-42j,-16-48j,-41-29j,-55+8j,-32+44j,18+63j,73+13j,43-54j,-28-52j,-51+2j,-9+48j,35+35j,31-21j,-32-23j,-37+18j,-8+44j,43+35j,49-20j,11-43j,-20-34j,-38-12j,-38+15j,-25+41j,10+45j,40+32j,57-5j,49-26j,14-60j,-30-57j,-60-17j,-53+23j,-26+50j,18+57j,54+29j,65-13j,32-69j,-48-66j,-74+12j,-23+51j,27+40j,49-18j,10-44j,-7-2j,1+18j,17+6j,9-15j,-1-15j,-13-5j,-10+8j,-3+10j,5+12j,9+4j,16+3j,9-13j,-1-16j,-12-11j,-16-4j,-24+10j,-8+18j,8+20j,14+7j,15-5j,13-15j,-3-23j,-13-14j,-26+4j,-7+27j,20+18j,17-9j,-2-15j,-14-5j,-10+12j
I1,7+23j,33+3j,-1-32j,-33-16j,-26+32j,12+37j,30+12j,17-18j,1-30j,-16-25j,-28-4j,-17+16j,5+32j,24+27j,33+15j,21-18j,-4-30j,-14-19j,-20-3j,-9+20j,-1+18j,18+15j,24-2j,12-16j,-7-15j,-18+5j,-7+14j,2+5j,11-2j,1-9j,-3+19j,22-13j,11-19j,-12-20j,-31+7j,-2+32j,23+21j,30+3j,15-18j,-8-26j,-21-23j,-34-1j,-24+27j,8+41j,24+36j,46+8j,34-31j,-13-47j,-42-25j,-41+4j,-15+37j,15+40j,42+16j,44-28j,-14-58j,-54-9j,-24+38j,19+37j,34-18j,7-35j,3-2j,-16-8j,-2+4j,,,10+0j,5-10j,4-15j,-7-8j,-12+4j,-12+9j,-4+22j,10+19j,23+0j,20-12j,10-29j,-14-26j,-33+2j,-21+24j,-5+27j,25+17j,27-2j,14-24j,-15-33j,-43+2j,-15+34j,22+18j,27-10j,-11-25j,-22-7j,1+15j,19-12j,10-19j,-18-23j,-27+16j,-2+29j,22+19j,24-7j,16-19j,-3-27j,-23-25j,-38-4j,-30+26j,4+48j,16+45j,54+13j,40-34j,11-49j,-32-46j,-52-4j,-37+34j,4+52j,37+41j,65-16j,12-63j,-57-35j,-50+29j,11+54j,54+5j,26-39j,26+21j,13-26j,-24-28j,-44+14j,-10+48j,40+27j,38-13j,15-32j,-13-35j,-32-14j,-36+11j,-24+39j,11+51j,44+22j,57+8j,45-40j,2-63j,-51-44j,-60+7j,-36+45j,6+61j,42+36j,68-5j,37-65j,-41-73j,-71+15j,-18+56j,30+36j,47-35j,2-48j,-4-6j,-4+14j,1+11j,13+6j,5-16j,-9-13j,-12+2j,-4+8j,-1+9j,10+7j,12+2j,12-4j,8-12j,-10-13j,-7-13j,-16-1j,-13+10j,-7+20j,13+17j,19+2j,16-12j,-2-17j,-11-18j,-23+2j,-13+19j,20+13j,18-8j,-5-15j,-21-2j,-8+12j
I1,-2+30j,32-11j,-1-35j,-37-15j,-27+40j,19+41j,35-1j,14-26j,-9-29j,-31-12j,-28+9j,-15+27j,15+35j,32+11j,29+0j,14-20j,-15-30j,-25-10j,-20+12j,-3+26j,19+13j,17+1j,16-15j,-2-19j,-21-6j,-16+15j,1+14j,14+2j,9-8j,-2-9j,-2-16j,-18+0j,-7+15j,15+18j,28-4j,1-28j,-22-21j,-28+0j,-17+20j,3+27j,22+17j,29-6j,18-28j,-14-37j,-35-28j,-50+14j,-20+43j,25+35j,43+7j,29-25j,7-43j,-33-33j,-45+10j,-22+50j,41+35j,44-27j,-8-45j,-36-10j,-13+37j,20+29j,-4+10j,8-1j,6,-2-3j,3+2j,-4+3j,-8+3j,-6+12j,5+10j,11+5j,12-9j,16,-10-13j,-24+4j,-20+21j,4+33j,22+17j,26-12j,9-26j,-11-22j,-25-13j,-27+17j,1+31j,31+20j,30-22j,-14-32j,-32+1j,-9+23j,26+11j,21-14j,-2+26j,15-5j,6-20j,-16-17j,-25+10j,4+30j,22+13j,23-1j,17-23j,-3-23j,-23-30j,-41+4j,-17+38j,15+49j,38+34j,51-15j,23-50j,-17-52j,-48-18j,-45+22j,-2+47j,30+46j,51+3j,39-51j,-31-65j,-66+12j,-11+54j,40+29j,37-37j,-9-47j,-26-16j,-23+30j,24+28j,45-10j,10-52j,-40-28j,-41+18j,-12+41j,24+34j,40+15j,43-27j,10-48j,-23-44j,-59-9j,-57+12j,-29+52j,23+58j,64+16j,52-30j,14-58j,-26-48j,-62-10j,-52+41j,6+77j,80+28j,51-55j,-22-52j,-52-4j,-10+49j,35+33j,9+13j,4-4j,-3-8j,-9-3j,-7+9j,10+9j,9+0j,8-2j,3-10j,-1-7j,-15-12j,-16+6j,-2+12j,9+17j,13+7j,13-6j,6-15j,-6-20j,-14-7j,-16+5j,-2+9j,7+18j,16+4j,16-12j,-9-28j,-22+1j,-4+16j,10+11j,12-10j,-2-16j
I1,-31-15j,-22+39j,18+36j,40-14j,2-46j,-42-27j,-42+22j,-2+34j,13+33j,29+6j,18-5j,7-23j,-18-36j,-41-17j,-36-5j,-22+31j,18+32j,31+23j,28+3j,6-13j,-12-20j,-20-22j,-21-5j,-5+14j,18+9j,26-3j,15-8j,-3-5j,-4+4j,-2+10j,-6-10j,-12+14j,6+20j,17+15j,17-23j,-14-33j,-28-20j,-29+0j,-1+21j,19+33j,38+19j,32-6j,11-32j,-19-43j,-39-41j,-44-12j,-25+32j,22+40j,48+24j,47-5j,19-33j,-27-42j,-58-23j,-55+18j,8+54j,66+8j,42-44j,-7-39j,-36+8j,-9+37j,7+0j,2-13j,-5-12j,,-2-4j,-3-2j,-6-2j,-6+11j,9+1j,18-1j,14-20j,-1-22j,-14-13j,-23+1j,-23+16j,-7+22j,16+24j,25-6j,16-25j,-1-34j,-20-21j,-28+10j,-19+34j,8+40j,43+6j,16-38j,-26-28j,-28+5j,1+29j,23+11j,-17-9j,-11+14j,3+20j,27+2j,6-27j,-8-22j,-25-20j,-18+12j,-5+19j,2+22j,30+18j,30-16j,12-34j,-10-34j,-28-33j,-50+6j,-25+44j,10+49j,32+32j,51-9j,23-41j,-9-47j,-45-35j,-65+23j,-6+68j,52+33j,46-23j,-3-48j,-48-5j,-28+37j,-34+2j,9+33j,34+12j,36-34j,-20-51j,-51-4j,-33+34j,-3+44j,34+32j,42+1j,32-22j,19-48j,-31-49j,-52-15j,-53+9j,-44+46j,13+70j,59+26j,55-10j,39-46j,-12-63j,-51-31j,-57+10j,-40+63j,48+76j,70-16j,24-52j,-28-46j,-55+23j,-3+47j,7-1j,10,-3-4j,-9+1j,2+13j,10+7j,12+6j,5+1j,5-8j,-5-10j,-8-2j,-6-2j,-7+13j,2+8j,7+7j,7+5j,14-10j,-7-21j,-8-11j,-13-3j,-15+10j,1+18j,15+10j,20-1j,14-24j,-21-14j,-13+4j,-5+10j,15+9j,10-13j
